GIA;Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;13_Часть В;14_Часть В;15_Часть В;16_Часть В;17_Часть В;18_Часть В;Часть С;1_Часть С;2_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
1;201033;МБОУ СОШ № 3 с. Александров-Гай Александрово-Гайского района;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-++++-+++++++++---;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;-;-;0(2)2(2);0;2;;15;68;0;4
1;203063;МОУ - СОШ № 9 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;22;100;0;5
1;203063;МОУ - СОШ № 9 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-++-++-+---+----;+;+;-;+;+;-;+;+;-;+;-;-;-;+;-;-;-;-;0(2)0(2);0;0;;8;36;0;3
1;204023;"МБОУ ""СОШ № 2 р.п. Базарный-Карабулак""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++++++-+-+-+-++;+;+;+;+;+;+;+;+;+;-;+;-;+;-;+;-;+;+;0(2)2(2);0;2;;16;72;0;4
1;205015;МАОУ Гимназия № 1;Гимназия;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++++-++-++++++;+;+;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;2(2)0(2);2;0;;18;81;0;5
1;205016;МАОУ Лицей № 1;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;22;100;0;5
1;205025;МАОУ Гимназия № 2;Гимназия;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++++-+-+----+--++;+;+;+;+;+;-;+;-;+;-;-;-;-;+;-;-;+;+;0(2)2(2);0;2;;12;54;0;4
1;205026;МАОУ Лицей № 2;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++-++-+++++--+-+--;+;+;-;+;+;-;+;+;+;+;+;-;-;+;-;+;-;-;2(2)0(2);2;0;;13;59;0;4
1;205026;МАОУ Лицей № 2;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++++++++-+-++++;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;1(2)2(2);1;2;;19;86;0;5
1;205026;МАОУ Лицей № 2;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;+++-++++++-++++-+-;+;+;+;-;+;+;+;+;+;+;-;+;+;+;+;-;+;-;0(2)0(2);0;0;;14;63;0;4
1;205026;МАОУ Лицей № 2;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;----++++-+-----+--;-;-;-;-;+;+;+;+;-;+;-;-;-;-;-;+;-;-;0(2)0(2);0;0;;6;27;0;3
1;205063;МАОУ СОШ № 11;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;-------+----------;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;1;4;0;2
1;205063;МАОУ СОШ № 11;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+-+++-----+-----+-;+;-;+;+;+;-;-;-;-;-;+;-;-;-;-;-;+;-;0(2)0(2);0;0;;6;27;0;3
1;205083;МАОУ СОШ № 13;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;++-+++++++++++-+++;+;+;-;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;0(2)2(2);0;2;;18;81;0;5
1;205083;МАОУ СОШ № 13;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;--+-+-++-----+----;-;-;+;-;+;-;+;+;-;-;-;-;-;+;-;-;-;-;0(2)0(2);0;0;;5;22;0;3
1;205123;МАОУ СОШ № 21;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;-++++--++-+-++++++;-;+;+;+;+;-;-;+;+;-;+;-;+;+;+;+;+;+;0(2)0(2);0;0;;13;59;0;4
